Outage_sec_perweek,Income,Contacts,Yearly_equip_failure,Bandwidth_GB_Year,DummyTechie,DummyOnlineSecurity,DummyPort_modem,DummyStreamingMovies,DummyStreamingTV,DummyChurn,InternetService_DSL,InternetService_Fiber Optic,InternetService_NoInternet
7.978322947,28561.99,0,1,904.5361102,0,1,1,1,0,0,0,1,0
11.69907956,21704.77,0,1,800.9827661,1,1,0,1,1,1,0,1,0
10.75280028,9609.57,0,1,2054.706961,1,0,1,1,0,0,1,0,0
14.91353964,18925.23,2,0,2164.579412,1,1,0,0,1,0,1,0,0
8.147416533,40074.19,2,1,271.4934362,0,0,1,0,1,1,0,1,0
8.420992898,22660.2,3,1,1039.357983,0,1,1,1,0,0,0,0,1
11.18272453,11467.5,0,1,1907.242972,1,0,0,1,1,1,1,0,0
7.791632265,26759.64,0,0,979.6127078,1,0,0,0,0,1,1,0,0
5.739005915,58634.51,2,3,1312.874964,0,1,1,0,0,0,1,0,0
8.707823904,50231.4,1,0,508.7637913,0,1,1,1,0,0,0,1,0
9.341631685,22580.7,0,2,2728.767869,0,1,0,0,1,0,1,0,0
6.68082638,18342.12,1,1,1180.588788,0,0,1,0,1,0,0,1,0
8.273875452,83671.08,0,0,1196.388018,0,0,1,0,1,0,0,1,0
5.880565591,115114.57,1,0,1948.694497,0,1,1,0,1,0,0,1,0
11.79073041,64256.81,3,0,1582.295235,0,0,0,0,0,1,1,0,0
10.79846973,89061.45,1,0,1840.014467,0,1,0,1,1,1,0,0,1
13.52284721,31659.3,1,0,2070.376729,0,0,1,1,0,1,1,0,0
9.831166695,44142.81,3,0,882.0985933,0,1,0,1,1,1,0,0,1
9.57470568,39262.14,1,0,1833.0967,1,0,1,0,1,0,0,0,1
10.92246098,19494.75,1,0,1954.080809,0,0,1,0,1,1,1,0,0
12.06889188,39624.21,0,3,2330.319383,0,1,0,1,0,0,0,1,0
6.984819996,45714.47,1,0,594.1054279,0,1,0,0,0,0,0,1,0
9.372975594,27442.03,1,1,713.0633088,0,0,0,0,0,0,0,1,0
7.109002592,79699.62,0,0,945.3802928,0,0,1,0,1,0,0,1,0
13.74777955,28520.32,1,0,870.76398,0,1,0,1,0,1,0,0,1
9.767668044,12558.83,1,0,774.2937069,0,0,0,0,0,1,1,0,0
15.8626095,8762.23,0,1,1506.446527,0,1,1,1,1,1,0,1,0
14.73616645,43882.72,0,0,419.0508708,0,0,1,0,1,1,0,0,1
13.43558029,10482.52,2,0,1259.415493,1,0,0,1,1,1,1,0,0
10.61771118,33442.79,1,0,1745.125956,0,1,0,1,1,1,1,0,0
6.613070806,43383.54,0,0,1795.465729,0,0,1,1,1,0,0,1,0
4.450171647,21793.88,2,0,492.4771472,0,0,0,0,0,0,0,0,1
8.774646693,51960.51,0,0,1013.993166,0,0,1,1,1,1,0,1,0
11.13156721,25942.1,1,1,2680.762173,0,1,0,0,1,1,1,0,0
5.540788887,11211.59,1,0,1081.814362,0,1,1,1,1,1,0,1,0
13.80362698,8283.29,0,1,1209.961168,0,1,1,0,0,1,1,0,0
16.31017089,10114.81,1,1,897.5919144,0,1,1,1,0,1,0,1,0
9.447065309,36229.21,2,0,1340.930156,0,1,1,0,0,0,1,0,0
16.84100845,25397.44,1,0,1113.993679,0,1,1,1,0,0,0,1,0
7.972937227,50336.5,1,1,1530.10769,0,0,1,0,0,0,0,1,0
11.42906608,38211.37,1,0,1310.137419,0,0,0,0,1,0,0,1,0
