Outage_sec_perweek,Income,Contacts,Yearly_equip_failure,Bandwidth_GB_Year,DummyTechie,DummyOnlineSecurity,DummyPort_modem,DummyStreamingMovies,DummyStreamingTV,InternetService_DSL,InternetService_Fiber Optic,InternetService_NoInternet
9.696499,48375.59,0,0,6462.182186,0,0,0,1,1,0,1,0
9.556195,38577.14,0,1,1446.866289,0,1,0,1,1,1,0,0
7.47385,20726.52,1,0,6417.345402,0,0,0,1,1,1,0,0
9.527541,111971.9,0,1,295.9085258,0,0,1,0,1,0,1,0
7.418985,50725.09,4,0,5674.734009,1,1,0,0,0,0,0,1
7.926134,22428.29,2,0,6624.884891,0,0,0,1,1,1,0,0
7.536421,56875.65,2,1,6322.708205,0,0,0,1,0,1,0,0
11.16863,121986.8,2,0,4715.545669,0,0,1,0,1,1,0,0
4.551109,39060.62,0,0,2790.826119,0,1,1,0,0,1,0,0
3.593769,43140.04,0,1,6026.66605,0,1,0,0,1,0,1,0
9.298368,115022.1,2,0,3713.519699,0,0,1,0,1,1,0,0
12.63006,28254.82,2,0,5369.680372,0,0,1,0,1,1,0,0
10.0174,25010.43,2,0,5228.370034,0,1,0,0,0,0,0,1
12.32696,27123.66,1,0,5986.22023,1,1,1,1,0,0,0,1
9.863350742,65377.87,0,0,746.2481195,0,0,0,1,0,0,1,0
11.90146,28011.86,0,0,4863.46622,0,0,0,0,1,1,0,0
9.553584,28725.65,0,0,6705.630348,0,1,0,1,1,0,1,0
13.10857,65952.12,0,0,4724.802444,1,1,1,0,1,0,1,0
4.539566699,26130.78,2,0,1256.287854,0,0,1,1,1,0,0,1
6.572112158,28822.56,0,1,718.7685676,0,0,0,0,0,1,0,0
6.258356398,7724.73,0,1,1577.915603,0,0,1,1,1,0,1,0
7.45222,7998.07,0,0,6274.153212,0,1,0,0,1,0,0,1
7.690569,30806.08,0,0,988.8476688,0,0,0,0,0,1,0,0
7.144377,4032.31,0,0,1515.763354,0,0,1,0,1,0,1,0
8.571661,84100.24,2,1,4912.337528,0,1,0,0,1,0,1,0
15.63468,20519.11,0,0,5382.496895,0,1,0,0,1,0,1,0
8.406366357,18555.15,0,0,463.6509838,0,0,0,0,1,0,0,1
11.16644,62026.58,1,1,1676.80832,0,0,0,0,0,0,1,0
10.65169,21225.8,1,0,1332.165747,0,1,0,1,0,0,1,0
8.782589,30431.48,0,1,6161.945348,0,0,0,0,1,1,0,0
10.66077,14192.54,0,1,5760.325515,1,1,1,1,0,1,0,0
9.916894,62656.2,1,0,861.7738077,0,0,1,0,1,1,0,0
8.993783986,119968.61,3,0,1564.936841,0,1,1,0,1,0,1,0
5.307312,15693.44,2,0,6496.792308,0,0,0,1,1,0,0,1
11.49056,6148.24,0,1,4579.594851,0,1,1,0,0,0,1,0
12.99445,17778.12,2,0,884.0960804,0,1,1,0,1,0,0,1
8.582666,13473.99,0,0,6493.208909,0,0,0,1,1,1,0,0
10.64343,82955.59,2,0,2006.056116,0,1,1,0,0,1,0,0
8.566455,26280.72,2,0,4492.115868,0,0,0,1,1,0,0,1
14.60495207,54587.66,2,0,1683.078344,0,0,0,1,1,1,0,0
13.93422217,40271.47,1,0,1283.463995,1,1,1,1,0,0,0,1
7.151598137,6517.94,0,0,970.4682919,0,0,1,0,1,0,1,0
13.47619,25590.46,0,0,896.0733804,0,1,0,1,0,0,1,0
18.44059,104480.4,0,1,2596.374524,0,0,0,1,1,0,1,0
12.81747,68699.53,2,1,5542.688477,0,0,0,0,1,0,1,0
5.620259,36415.41,0,0,1221.36675,0,1,1,1,0,1,0,0
10.54611,51427.43,1,0,919.5165157,0,1,0,0,0,0,1,0
10.7128,60703.43,1,0,5072.473187,0,1,0,0,1,1,0,0
11.06462,10085.48,0,0,1435.659724,0,1,0,0,0,1,0,0
11.5891,21558.19,2,1,5848.90356,1,1,1,0,0,0,0,1
8.650524,43838.7,0,0,6083.416035,0,1,1,0,1,0,1,0
13.90412,16545.07,0,0,4943.554958,1,0,1,1,1,1,0,0
6.458755,22066.61,2,0,1014.955092,0,1,0,1,1,0,0,1
11.28199,9373.48,1,0,5910.676012,0,0,1,0,0,1,0,0
6.220807,48364.58,1,0,1094.624835,0,0,0,1,0,1,0,0
9.836612,48628.18,1,0,4032.926983,0,1,0,1,0,0,1,0
11.31727,14589.73,2,1,1264.000346,0,0,0,1,1,1,0,0
8.924287,44188.48,0,0,4897.15967,0,0,0,1,0,1,0,0
9.919418,23948.23,2,0,4952.728891,0,1,0,0,1,0,1,0
7.275899757,12145.97,1,0,1885.438773,0,0,0,1,1,0,1,0
14.90722,44042.94,0,0,5655.455765,0,0,1,0,1,0,1,0
